fortuneNum,rate,describe
55,凶,いい意味でも悪い意味でも波瀾万丈、両極端、栄枯盛衰を繰り返す安定とは程遠い運です。忍耐力あり努力も惜しみませんので、努力が叶い大きく成功もするのですが、何故かそれと同じだけの失敗・衰退する運です。また、成功の度合いも失敗の度合いもスケールが非常に大きいことが運の特徴です。10億円儲けたかと思えば10億円損するといった感じでしょうか。成功・幸運を経験できない運の悪さではなく、必ず努力が報われ事業や結婚などが上手くいく時期はあります。しかし、成功し始めた裏では衰退の運が必ず始まってしまうのです。両極端を経験できるため、人としての厚みができるといった観点からは幸せですが、晩年に安定度が欠けると精神的にも肉体的にもきついものがあります。55画が五格のどの部分にあるかにもよりますが、人生後半の運を表す総格にある場合が多いと思われます。若いころの経験は失敗も成功も後々活かされますが、晩年での安定度の欠如は築き上げたものの崩壊につながりかねません。総格が55画の場合は、傲慢さや怠りがたたった衰退ではなく、努力を超えた運的なことからくるものですので、できるなら改名をお勧めします。
56,凶,意志薄弱、虚弱、挫折、病気、無力を暗示します。野球でよく言われる、ブルペンエースのような運で、練習では良くても本番、チャンスに弱く、いつもここぞという時に失敗する運です。また、何故かタイミング悪く大切なタイミングで邪魔が入ります。何をやっても上手くいかないことが精神的な疲労となり健康面での弊害も出がちです。この傾向は晩年になるほど強くなり、運気は年齢とともに下降の一途をたどります。特に56画が人格や総格にある場合は晩年の衰退の傾向はさらに顕著になります。自分の運気だけでは何をしても駄目になっていきますので運気の良い人と仲良くなり、援助してもらったり、若いころからの善行により運気の向上策が必要です。中年期にさしかかったくらいで改名なども含め人生設計を考え直すこともお勧めです。外格に56画がある場合は行動に一貫性を保てず、信用を得られず人間関係で苦しむ傾向になります。
57,吉,向上心旺盛で常にプラス思考で常に目標に向かって突き進みます。気が強く攻撃的な性質から、どのような苦境に立たされても悲観的にならず巻き返しにいきます。良いように働けば粘り強く、研究熱心、悪く言えば頑固者です。若いころに苦労する傾向があり、また大きな事故に遭遇する可能性がありますので注意が必要ですが、無事乗り越えると大きく運が開いて、順風満帆の人生になるでしょう。ただし、油断すると落とし穴にはまりますので、慎重に幸せを感じてください。信じた道を地道に突き進むことが成功の鍵です。
58,吉,大器晩成型運です。若いころは苦労が理想と現実が一致せず苦労が多いです。苦労をすればするほど、また忍耐力、意思力を鍛えることになり、魅力を増していき、人を惹きつけ、人を束ね、月日とともに足場を固めて大きく成功する基礎を徐々に築いていきます。中年期以降から頭角を現し、晩年に一気に花が開き、金銭、健康、人間関係、地位・名誉など色んなことがスムーズに流れます。必ず努力が実を結ぶ運ですので、どのような苦労や挫折があっても腐らず晩年を待ちましょう。
59,凶,独特の感性を持ち天才肌ですが、忍耐力がなく、ちょっとした困難に遭遇しただけで逃げ出してしまいます。移り気を抑え、集中できるものを見つけることが運勢の向上に重要です。良好な人間関係を築く事で精神が養われます。
60,大凶,物事に迷いやすい性質があります。極端な悪い結果を招きやすい画数。運的にも努力が非常に実りにくく、努力するほど泥沼状態になる凶相です。あれこれと策を講じますがいつも途中で気迷いが生じて、結果に繋がりません。何か一つでも良いので最後までやり遂げる勇気が支えとなるでしょう。上手くいかないことが多いことからくるストレスで健康を害する傾向もあるようですので注意が必要です。晩年に近づくにつれ運気は落ちていきます。
61,吉,卓越した才能、知力、行動力、開拓力を備えています。努力家で常に沈着冷静、洞察力に優れ、リーダーになる運をも持ち、独立することにより本当の実力が発揮できます。若いころは失敗も多く、苦労するかもしれませんが、堅実で真面目、忍耐力もあり、人に頼らず自分で道を切り開き困難を克服して功成り名を遂げます。真面目すぎ非常に慎重で融通の利かないところがあり、このことでチャンスを逃すことも多々あります。自尊心強く、自分の意見を曲げず傲慢になりがちで、油断すると真っ逆さまに落ちていく要素も持ち合わせます。謙虚に、常に周囲の意見に耳を傾ける事で幸せを手にします。
62,大凶,一言でいえば器用貧乏です。知力あり興味が多方面にわき多才で、センスも良いものを持っています。しかし、常に悩みや葛藤が多く、最後までやり遂げることができず、全てが中途半端です。運勢的には悩み多く、決して良くはありません。努力しても空回りで報われにくく、飛躍できるチャンスも多くなく、上手くいっても長続きせず、他人のトラブルにも遭遇しがちです。上手くいかないことによる心労により精神疾患に陥る事もあります。信頼できるパートナーを見つけ、一点集中で根気よく行う事が成功の鍵となります。
63,特大吉,六大吉数の一つで、大吉中の大吉運です。お金、健康、家庭、仕事、人間関係などすべてのことに特別の吉運を持ちます。才能、人徳両方に恵まれ、頭も良く、目標を見定め全ての力を結果の出ることに注ぎ込む判断力に優れますのでリーダーにもなれます。ただ、結果や効率を求めすぎると本当の実力がつきませんので、最低限の努力、他者への配慮が困った時にも援助を受ける条件になりますので油断は禁物です。また何事も順調に行き過ぎて、人の気持ちが分からない鼻持ちならない人にならないようにすることが大切です。運の良さに胡坐をかかず、さらなる飛躍を心掛けてください。
64,大凶,浮き沈み激しく不安定、事故、病気、破産、離散など艱難辛苦を多く経験します。もがき苦しみ努力しても裏目にばかり出てしまいがちで、泥沼状態です。運よく最初、順調に行っていても中身が確立されていないので途中から坂道を転げるように衰退し、破滅してしまいます。考え方も偏屈で、何事もマイナスにしかとらえず、自分の能力を棚に上げて、上手くいかないことは他人のせいにしがちです。自分の中では常に自己が中心に動いていますので、場の空気を読めず、余計なことを言って墓穴を掘ることも多々あります。これを取り返すためにその場逃れの見え見えの嘘も多くなり信用が築けません。人間関係は常にギクシャクしています。良い仲間を得ることで衰退運をカバーできますので、虚勢を張らず言葉に責任を持ち、言葉を裏付ける誠実な行動を心掛けてください。人は必然的についてきます。人格や総格に64画があると、人生全般において欠点ばかりが強調され、努力は実りがたく運気は大きく沈みがちです。できれば改名をお勧めします。
65,大吉,太陽が燦然と輝き青葉が生い茂るごとく生命力に満ちた運勢です。発展、隆盛、充実、明朗を暗示し、努力は相当の確率で報われ、常に明るい未来を想像できる恵まれた環境の人です。仕事、健康、結婚、お金などおおよそこの世の幸せを手に入れることができる一生安泰の強運です。もちろん精神的にも満たされ長生きもできます。苦労とは無縁で一時的にトラブルが発生しても努力さえしていれば難なく乗り越え、落ち込むことはありません。また、人の上に立つ器があるボス運で、誠実な性格、言ったことは必ず実行する責任感から周囲の絶大な信用を得て苦労なく成功していけます。大きな引き立ても受けることができますので、大事業も成し遂げられます。晩年運を表す総格に65画を持つ人がほとんどと思われますが、総格に65画を持った場合、晩年運は盤石です。人格に相当の凶数が無く、陰陽、五行のバランスが大凶でない限り、若いころに多少の苦労があっても、全ては晩年の繁栄の肥やしになります。65画は一点の陰りもないといっても過言でないほどの稀にない大吉数で、仕事、健康、結婚、お金、人間関係、家庭環境など全てにおいて大きな幸運に恵まれます。この強運を最大限に活かさないともったいないですので、日ごろの言動は慎重にしたいです。己惚れ、傲慢、慢心は厳に慎み、自分の幸せだけでなく多くの恵まれない人のためなど大きな志しを持って地道な努力を続けてほしいものです。
66,大凶,どんなに努力してもとにかく邪魔が入り、また、努力が裏目に出て、あらゆることに四面楚歌、八方ふさがり状態です。さらに、真面目にやったことが何故か、災難の原因になったりもします。先に見えるかすかな光に望みをかけ努力しても、最後は失意のどん底に終わります。努力が実る可能性はほとんどなく、寂しい人生だったと振り返ることになる運です。病気、災害、盗難など立身出世どころか、今生きることさえ大変な状況といった感じですので改名を考えない場合は、現実逃避でなく精神的、宗教的な境地を開眼する気持ちで生きた方がいいでしょう。悟りが開ければ精神的にもの凄い充足感を味わえます。そうでない場合は、心労で健康を損ない、運の悪さが自分だけでなく周囲にも悪影響を与えますので改名など運勢の根本治療をした方がいいでしょう。
67,大吉,努力家で人としての実力もあるのですが、その実力以上の天運に恵まれ大発展していきます。苦労といった言葉とは無縁といっても過言ではなく、頑張った以上の成果を得ることが出来ます。実力を上回る運を上手く操る能力に長けていて、周囲からの引き立てにも恵まれますので、さらに大きな幸運に恵まれます。努力以上、実力以上の成果、成功、幸運に恵まれますので、注意すべき点は、実力と勘違いし世の中を甘く見てしまうことです。持ち生まれた徳が輝き周囲も一目を置きますが、あくまで運に基づくもの。このことを忘れて傲慢になると運に見放され、幸運のサイクルが不幸のサイクルに変わってしまいます。何事においても最初上手くいかないことがありますが、時間とともにすべてがうまく回転しだす運です。そのため、若いころは上手くいかないことが多いかもしれませんが、大器晩成タイプで、必ず幸せになれますので、努力を怠らないことです。特に周囲の引き立て、周囲から幸せを運んでもらえる非常にラッキーな運ですので、無用に敵を作らず、円満な人間関係を構築することに注力してください。
68,大吉,勤勉で常に進歩発展向上を目指します。論理的で計画性あり、堅実に自分の道を進むことはもちろん、未開の道をも切り開いていく能力を持ち、努力は最終的に必ず報われる運をも持っています。大器晩成運ですので若いころは苦労が多いかもしれませんが、年を追うごとに信用が増し評価されていきます。とはいえ運気の波は少なく比較的安定した人生を歩めます。少々困難なことが起こっても必ず運が味方してくれます。学才にも秀でますが、発想力、発明・発見の能力がさらに非凡です。創意工夫はもちろん、意志強固で精神力も強く目的に向かい継続的で相当な努力ができますので、技術革新などの分野で大きく力を発揮します。自分の才能をひけらかすことは無く、多くの人を魅了していき、多くの人の引き立てを受け成功しますが、独力も加わりさらに大きく成功できます。健康は問題ありません。人生における一番の問題点はプライドの高さになります。研究熱心で知識も豊富、開拓もできますので、プライドが高くなることは仕方ありませんが、大切なことで他人からの忠告やアドバイスを無視してしまい、周囲からの信用や人気を自分で失墜させてしまいます。
69,大凶,逆境、悲惨、悲運、多難を暗示します。気苦労多く、生涯にわたり何をやっても上手くいかず、幸運が訪れてもつかの間の幸せで、長続きはしません。控えめで質素な幸せに満足していても、トラブルに巻き込まれ、それさえも奪われてしまう運です。生まれ持った天分をわきまえて、ある程度の不運は覚悟することで、覚悟ができて不幸が来てもダメージは少なくてすむでしょう。他の五格の吉凶、バランスにもよりますが交通事故や健康には細心の注意が必要です。また、飲む打つ買うで人生を破滅させる人も多いようです。中年期以降に運勢はより下がっていきますので若いころからの対策が絶対的に必要です。運勢改善には善行の積み重ねしかありませんが、生涯かけてのことになります。時間が超長期になりますので、途中で挫折することなく、運命を良くしていくには改名がお勧めです。
70,大凶,滅亡、悲哀、破綻、短命、孤立、離散、事故、殺傷、紛争、挫折などを暗示する大凶の画数です。才能はあるのですが煙たがれ、引き立てを受けることは無く、また意志薄弱で根気にも欠け、途中で投げ出してしまい、才能をものにできません。必死にもがいて努力しても泥沼にはまり込む一方で次から次へと不幸に見舞われます。特に、裏切られるわけではないのですが、援助など大きくあてにしていたことが期待外れに終わる運気です。他人をあてにせず自分の力で乗り越えていけばいいのですが、どうしても他人をあてにせざるを得ない状況に追い込まれます。二枚舌外交を勧めるわけではありませんが、他人を頼るときは二重三重に保険をかけておいた方がいいでしょう。また、入学、就職、結婚、出産、厄年など人生の転機にトラブルが生じやすく、そこでの不幸は悪い方へ悪い方へと向かい、良くなっていきません。あらかじめ神社、仏閣などで厄払いしておくことがお勧めです。さらに70画の最も厄介なことは、自分の運が悪いことは仕方なくても、他人にまで自分の運の悪さをまき散らしてしまうことです。これらの凶相は晩年に向かうほど強く出てきます。できれば改名したほうがいいでしょう。
71,吉,凶の要素を含みますが、努力と実行力により吉に変えていきます。特別に悪い凶相ではありませんが、恋愛、結婚、家庭、人間関係、仕事、不意の事故、お金、健康など、いずれかのことで様々な苦労を経験します。援助者にも恵まれず一人の孤独な葛藤があります。生年月日など名前以外の要素からくる悪運の程度にもよりますが、凶運を克服できず挫折することも多々あるでしょう。思い通に発展できず一見は運に見放された人生のように見えますが、いばらの道を努力で乗り越えると、実力も人間的な魅力も中途半端に運のいい人よりも圧倒的にすごくなります。困難を克服することが宿命づけられた運と覚悟することが開運の鍵です。ただし、人の上に立つタイプではなく、組織の長など責任ある立場に立つと自分の運の悪い部分、苦労性を構成員にもうつすことになり決して幸せとは言えません。多くの人の命運に関わることなどの意思決定にはかかわらない方がいいでしょう。忍耐強くコツコツ努力を続けていれば小さな成功はつかめます。努力を怠ったり直感に頼るような行動は運気を落としますので注意してください。
72,中吉,吉凶半々の人生です。一定以上の才能は持ち合わせ、器用さもあるので色々な事をこなせるのですが、運的に良いことも悪いことも起き、経済的に恵まれれば健康を害したり、人間関係がスムーズになれば家庭内がごたごたするといったように常に、??相と凶相が混在します。また、若いころ運が良くても年を取ってから不運といった感じです。精神的に満たされないことが多く、反動で外見を必要以上に取り繕いますが、そのために財布は常に火の車状態です。運の不安定さは、晩年になるほど強くなり、運を安定させる手っ取り早い手段は改名ですが、その前に運不運の影響を最低限に抑えられる自分をしっかり確立させることが先決です。そのことで、見栄っ張りの性格も弱まり、精神的経済的な安定度も増していきます。
73,中吉,誠実、純粋、繁栄、人徳といった吉相の暗示があるのですが、開運を妨げる凶相も含んでいます。特に若いころは才能があっても認められることが少なく、運気が悪いわけではないのですが幸せを感じることができません。才能を生かす道も閉ざされがちで、内助の功、縁の下の力持ち的な存在です。内助の功は決して悪くはありませんが、自己実現という観点からは満足できないことが多いと思います。しかし、中年期を過ぎたあたりからそれまでの下積みが認められ、周囲から認められ引き立てを受けます。しかし、もともとの運勢が派手に成功できるタイプではなく、地道にコツコツ平凡な幸せを堅持するものです。高貴さといった理想があり、実力以上の幸せを追い求め、小さな成功では満足できず、常に欲求不満であることもあるようです。理想を求めることは決して悪い事ではないのですが、運勢的には地味なタイプで、誠実さと人望で中年期以降の小さな幸せを積み重ねていくことで幸せのバランスを保つのが73画を名前に持つ人です。運勢以上のものを求めるなら、死に物狂いの努力、実行力、時には大切なものを失う可能性がある事も心に留めておく必要があります。
74,凶,端数4がつく画数のうち最も凶の相が強い画数です。やることなすこと困難が伴い上手くいきません。また、もともとが怠けもので何に対してもやる気が無くうつろな人生を歩む暗示があります。多才で器用な部分はあるのですが、努力しませんので一定以上の才能に磨き上げることができません。また状況にも流されやすく、横着、自分で可能性を大きく広げていこうといった気持ちは全くありません。その場しのぎができればそれでよく、悪い部分において腹が座って達観しているといった感じです。極端に責任感が無く、他力本願で不満ばかりを口にしますので信用もありません。自分の努力だけで何とかなる運ではなく、周囲に迷惑をかけないためにもできれば改名をお勧めします。
75,中吉,堅実、着実な生き方を求めることにより運を維持することができます。大きな不幸もありませんが、大きく飛躍することもない、平凡な運勢です。人間的に大きく欠けた要素もないのですが、夢が無いので人を惹きつける魅力もありません。大きなトラブルに巻き込まれることもありませんので、大きな出世を望まず、平凡な人生を幸せと感じるならば良い画数でしょう。逆に何かの分野で頭角を現し、大きく活躍したいなら良い画数ではありません。地道な努力でゆっくり実力と運を蓄えれば、信用もできて持ち生まれた運を超える幸せを享受できるでしょう。焦りは禁物です。もともと浮き沈みの幅は少ないので、人生の安定度は高いでしょう。体制への過度な反発による改革や未開の地を開拓するような野心的行動をとると運勢は極端に下がりますので注意してください。
76,大凶,不和、孤立、固執、偏狭、報われないといった暗示があります。理想を大きく掲げ努力はするのですが、頑張っても頑張っても絶対といっていいほど結果に結びつかず空回りします。そのため理想と現実のギャップを感じ投げやりになります。肉体も精神も浪費し、いつも疲労感が漂っています。上手くいかないことが劣等感を招き、協調性を持てず、我も強くなりトラブルやもめ事を多く招き、寂しい人生になりがちです。協調性を養うことが大切ですが、自分一人で欠点を治すことは困難です。信用でき、自分が耳を傾けられる指導者を持つことが開運のための鍵になります。76画を名前の五格のどこかに持つ人はとにかく偏狭な自分の世界に閉じこもることが不運の始まりです。教養を養い、広い視野で物事を判断できる自分を作ることにより、周囲の協力を得られるようになることをくれぐれも忘れないでください。自分だけで成功しても一時のものになる運勢でもあります。
77,半吉,運勢的には不安定で吉凶入り乱れていますが、吉の方が強い感じです。若いころは何をやっても上手くいかず、努力が開花することはなかなかありませんが、中年期を過ぎたころから次第に運気が上昇し思ったことが少しずつ実現していきます。晩年は吉運ですので若いころの苦労は成功の糧と信じて苦労が多くても粘り強く頑張ってください。ただし、運気の吉凶の落差が激しく、成功したかと思えば急転直下で運気が下がる人が多いです。これらは慢心はもちろん、他人を自分の利益のために利用することが原因のようですので成功しても油断は禁物、厳禁です。人の引き立てにより運が開いていくタイプですが、さりとて他人の勧めで物事を判断するのではなく、自分が主体となることにより運を切り開いていきます。実力はありますので、油断、慢心せず地道に努力していけば、失敗することも少ないでしょう。
78,吉,素直で頭脳明晰、努力家ですが、精神的に非常にもろく、人の意見にも左右されやすく、上手くいっていても足を引っ張られます。素直さがアダになり、芯の無い人となってしまうのです。そのために外部から悪影響も受けやすく、人生全般にわたる大切な計画でさえ潰されてしまうのです。人生に一度、特に若いころに成功する可能性がある運ですが、その成功が自信過剰、慢心を引き起こし、挫折する可能性が高い運です。また、一度落ち込むと這い上がるだけの強さがありません。困難に遭遇するとすぐに駄目になる傾向、外部から足を引っ張られる傾向は、中年期以降に、より顕著になってきますので備えあれば憂いなし、若いころから精神的にタフになる努力をするとともに、実力も備えてください。攻めよりも守りを固めることで運がキープでき、また、良くなっていくタイプです。
79,大凶,消極的で考え甘く、逆境にも弱く、何をやってもぐずぐずし、人をあてにしてしか生きていけないタイプです。情緒不安定で困難や嫌な事に遭遇すると、乗り越えないといけないと思いつつ、必ず逃げます。進歩向上する精神や反省することは無く、逃避は自分で言い訳を見つけ納得させます。自分に実力がないことが分かっており、周囲の注目を集めることができませんので、興味を引くような理想、絵空事を語りますが、最後は煙に巻きます。自分で目標を設定し、骨惜しみし、泥まみれになって最後までやりぬき通す癖をつけてください。この基本を改めない限り、運を良くしようがありません。79画を名前の五格のどこかに持つ方は、画数が悪いから性格が悪く運が開けないというより、覇気なく、やる気なく、全てが他人任せ、不平不満を言う性格が全てをダメにしていることを理解し、責任感ある行動・態度を心掛けてください。全てはそこからです。
80,大凶,病弱、短命、虚無、空虚といった暗示があります。一生を通じて何をやっても上手くいかず、もがけばもがくほど泥沼状態です。多くの困難を経験して精神的にタフになれればいいのですが、ボロボロになる一方です。救いとしては、生涯をダメにしてしまうほどの極端な悲劇には遭遇しない運ということです。あまりに上手くいかないことが多く、世間の感覚、一般常識と少し違う価値観も持ちがちですので、出家など隠遁生活を考えたり理想としたりしますが、運勢的には世間と離れた生活が合っているようです。ですから無理して、ストレスをためながら普通の社会人をする必要はありません。俗世間から距離を置いた方が、足を引っ張られることもなく、マイペースで物事を勧められるため自分の才能をフルに発揮できるのです。ただし、通常の社会人としての生活を希望する場合は改名などにより運勢を改善したほうがいいでしょう。
81,最大吉,81という数字は9×9により成り立ちます。姓名判断では最後の数字であり、また最初の数字1の数霊の力も持ち合わせ、81画を境に82画以降は1画に戻します。1画～80画までの数字に含まれるすべての要素を複合して最高吉に変えた、無限の可能性を秘めた画数といっても過言ではなく、全ての要素を兼ね備えます。よって、姓名にこの画数を持つと地位、名誉、財産、人間関係、伴侶、子供、孫、仕事、健康、長寿など、おおよそこの世の全ての幸せを手に入れることが出来ます。あらゆる天分に恵まれ、少しの努力でも目指したことが上手く開かれていきます。注意すべき点があるとすれば、もしこの画数を持つ幸運に恵まれた場合は、周囲の人たちへの援助により幸福を分け与えることを忘れないことです。自分の幸せは自らが他へ与えた幸せの見返りである原理原則をよくよく理解し、できる限りのことを他人へ施してあげて下さい。81画は完成形を意味する数字ですので、その位の事を自然にしていかないと、根底にある運勢のバランスが崩れてしまう恐ろしさがあります。
